,Unnamed: 0,키값,연도,학교종류,등급,학교명,본분교,학교상태,설립,우편번호,주소,도로명주소,행정시,자치구,행정동,전화번호,팩스번호,홈페이지,lat,lon,geometry
27,27,BE_LiST23-0061,2013,일반대학,2.0,한양대학교,본교,기존,사립,,서울특별시 성동구 왕십리로 222 ,,서울특별시,성동구,사근동,02-2220-0114,,http://www.hanyang.ac.kr,37.5577588114444,127.04532959264,POINT (959842.5156703551 1951031.393787471)
28,28,BE_LiST23-0062,2013,전문대학(2년제),9.0,한양여자대학교,본교,기존,사립,,서울 성동구 행당동 살곶이길 200,,서울특별시,성동구,사근동,02-2290-2114,02-2291-6111,http://www.hywoman.ac.kr,37.558968112905,127.049413811776,POINT (960203.8879451508 1951163.822185725)
29,29,BE_LiST23-0063,2013,일반대학,9.0,한영신학대학교,본교,기존,사립,,서울 구로구 경인로 290-42  한영신학대학교,,서울특별시,구로구,개봉1동,02-2067-4500,02-2616-4102,http://www.hytu.ac.kr,37.4965322224543,126.851529283597,POINT (942678.6546644657 1944339.056824996)
30,30,BE_LiST23-0064,2013,일반대학,4.0,홍익대학교,본교,기존,사립,,서울특별시 마포구 와우산로 94(상수동),,서울특별시,마포구,서강동,02-320-1114,02-320-1122,http://www.hongik.ac.kr/,37.550874837441,126.925554591431,POINT (949258.9759662028 1950325.564049909)
31,31,BE_LiST23-0001,2013,일반대학,6.0,가톨릭대학교,제2캠퍼스,기존,사립,,서울 서초구 반포동 505,,서울특별시,서초구,혜화동,,,http://songeui.catholic.ac.kr,37.586336176926416,127.0045786211564,POINT (956259.9951848723 1954220.10244138)
32,32,BE_LiST23-0002,2013,일반대학,6.0,가톨릭대학교,제3캠퍼스,기존,사립,,서울 종로구 창경궁로 296-12(혜화동) ,,서울특별시,종로구,혜화동,02-740-9714,02-741-2801,http://catholic.ac.kr,37.586336176926416,127.0045786211564,POINT (956259.9951848723 1954220.10244138)
33,33,BE_LiST23-0003,2013,일반대학,9.0,감리교신학대학교,본교,기존,사립,,서울 서대문구 냉천동 감리교신학대학,,서울특별시,서대문구,천연동,02-361-9114,02-361-9299,http://www.mtu.ac.kr,37.567856202812,126.962125913828,POINT (952500.1446075178 1952190.450626777)
34,34,BE_LiST23-0004,2013,일반대학,4.0,건국대학교,본교,기존,사립,,서울 광진구 화양동,,서울특별시,광진구,화양동,02-450-3114,02-450-4126,http://www.konkuk.ac.kr,37.5429556751421,127.076302318843,POINT (962570.7060482886 1949376.28697006)
35,35,BE_LiST23-0005,2013,일반대학,8.0,경기대학교,제2캠퍼스,기존,사립,,서울 서대문구 경기대로9길 24 경기대학교,,서울특별시,서대문구,충현동,02-390-5114,031-249-8718,http://www.kyonggi.ac.kr,37.5651964618968,126.962122732909,POINT (952498.1747168085 1951895.366847604)
36,36,BE_LiST23-0006,2013,일반대학,3.0,경희대학교,본교,기존,사립,,서울 동대문구 회기동 경희대학교,,서울특별시,동대문구,회기동,02-961-0114,02-961-0930,http://www.khu.ac.kr,37.5968011678013,127.05285401582,POINT (960527.7079592979 1955359.758785973)
37,37,BE_LiST23-0007,2013,일반대학,1.0,고려대학교,본교,기존,사립,,서울 성북구 안암동 고려대학교,,서울특별시,성북구,안암동,02-3290-1114,,http://www.korea.ac.kr,37.5898422803883,127.031685000726,POINT (958655.1300817659 1954596.810983731)
38,38,BE_LiST23-0008,2013,일반대학,6.0,광운대학교,본교,기존,사립,,서울특별시 노원구 월계동 447-1,,서울특별시,노원구,월계1동,,,http://www.kw.ac.kr,37.6192404638865,127.058270608867,POINT (961017.5791332624 1957847.035387557)
39,39,BE_LiST23-0009,2013,일반대학,5.0,국민대학교,본교,기존,사립,,서울 성북구 정릉3동 국민대학교,,서울특별시,성북구,정릉3동,02-910-4114,,http://www.kookmin.ac.kr,37.6107638961532,126.996969239236,POINT (955602.6875340069 1956933.821053284)
40,40,BE_LiST23-0010,2013,전공대학,9.0,국제예술대학,본교,기존,사립,,서울 강남구 논현동 79,,서울특별시,강남구,논현2동,02-542-8197,02-517-1392,http://www.kica.ac.kr,37.5168976514695,127.031070459703,POINT (958560.5045685262 1946504.268131101)
41,41,BE_LiST23-0011,2013,일반대학,9.0,그리스도대학교,본교,기존,사립,,서울 강서구 화곡6동 그리스도대학교,,서울특별시,강서구,화곡6동,02-2600-2400,02-2698-8876,http://kcu.ac.kr,37.548689099232,126.854164438887,POINT (942951.3198518725 1950123.994975557)
42,42,BE_LiST23-0012,2013,일반대학,6.0,덕성여자대학교,본교,기존,사립,,서울특별시 도봉구 삼양로 144길 33,,서울특별시,도봉구,쌍문1동,02-901-8000,,http://www.duksung.ac.kr,37.64950880707469,127.01639455013195,POINT (957339.3222720079 1961223.408966494)
43,43,BE_LiST23-0013,2013,일반대학,4.0,동국대학교,본교,기존,사립,,서울 중구 필동3가 동국대학교,,서울특별시,중구,필동,02-2260-3114,02-2277-1274,http://www.dongguk.edu,37.5582396348315,127.000398385089,POINT (955874.3518144661 1951104.883663172)
44,44,BE_LiST23-0014,2013,일반대학,9.0,동덕여자대학교,본교,기존,사립,,서울 성북구 하월곡2동 동덕여자대학교,,서울특별시,성북구,월곡2동,02-940-4000,02-940-4182,http://www.dongduk.ac.kr,37.6069903921957,127.041812418483,POINT (959558.509899969 1956494.905479387)
45,45,BE_LiST23-0015,2013,전문대학(3년제),9.0,동양미래대학교,본교,기존,사립,,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),,서울특별시,구로구,고척1동,02-2610-1700,02-2688-5494,http://www.dongyang.ac.kr/,37.5006023324227,126.867675063634,POINT (944108.9044233091 1944780.902015441)
46,46,BE_LiST23-0016,2013,사이버대학(대학),9.0,디지털서울문화예술대학교,본교,기존,사립,,서울시 서대문구 통일로 37길 60 (홍제동 318-18),,서울특별시,서대문구,홍제1동,02-2287-0222,02-379-8828,http://www.scau.ac.kr,37.5854760066341,126.94391140634,POINT (950903.1723950708 1954154.650433307)
47,47,BE_LiST23-0017,2013,일반대학,6.0,명지대학교 인문캠퍼스,제2캠퍼스,기존,사립,,서울 서대문구 남가좌동 50-3,,서울특별시,서대문구,남가좌2동,02-300-1556,02-300-1556,http://www.mju.ac.kr,37.580234738358605,126.92282415743652,POINT (949037.7992666791 1953584.385414651)
48,48,BE_LiST23-0018,2013,전문대학(3년제),9.0,명지전문대학,본교,기존,사립,,서울 서대문구 가좌로 134 명지전문대학 ,,서울특별시,서대문구,홍은2동,02-300-1000,02-304-4832,http://www.mjc.ac.kr,37.5846910900534,126.925693019531,POINT (949294.1325701275 1954077.245762963)
49,49,BE_LiST23-0019,2013,전문대학(3년제),9.0,배화여자대학교,본교,기존,사립,,서울 종로구 필운대로 1길 34 배화여자대학교,,서울특별시,종로구,사직동,02-399-0700,02-737-8431,http://www.baewha.ac.kr,37.5790584940969,126.965806327927,POINT (952832.2318016931 1953431.437902253)
50,50,BE_LiST23-0020,2013,전공대학,9.0,백석예술대학교,본교,기존,사립,,서울 서초구 방배로9길 23 백석예술대학교,,서울특별시,서초구,방배3동,02-520-0700,02-520-0879,http://www.bau.ac.kr,37.4802271184499,126.996318772402,POINT (955467.6918580461 1942451.776569483)
51,51,BE_LiST23-0021,2013,사이버대학(대학),9.0,사이버한국외국어대학교,본교,기존,사립,,서울 동대문구 이문동 한국외국어대학교,,서울특별시,동대문구,이문1동,02-2173-2580,02-966-6183,http://www.cufs.ac.kr,37.596487998066,127.059629805049,POINT (961125.6881690219 1955322.187636694)
52,52,BE_LiST23-0022,2013,일반대학,7.0,삼육대학교,본교,기존,사립,,서울시 노원구 화랑로 815(공릉2동 26-21),,서울특별시,노원구,공릉2동,02-3399-3636,02-979-5318,http://www.syu.ac.kr,37.64360562221563,127.10634537610252,POINT (965271.5142712584 1960531.367437705)
53,53,BE_LiST23-0023,2013,전문대학(3년제),9.0,삼육보건대학교,본교,학교명 변경,사립,,서울 동대문구 휘경2동,,서울특별시,동대문구,휘경2동,02-2212-0082,02-2215-2380,http://www.shu.ac.kr,37.588891240674,127.065656316611,POINT (961653.7920079565 1954476.886169033)
54,54,BE_LiST23-0024,2013,일반대학,9.0,상명대학교,본교,기존,사립,,서울 종로구 홍지동 상명대학교,,서울특별시,종로구,부암동,02-2287-5114,02-2287-0031,http://www.smu.ac.kr,37.6023222243288,126.955350026719,POINT (951923.9304373839 1956017.748663784)
55,55,BE_LiST23-0025,2013,일반대학,2.0,서강대학교,본교,기존,사립,,서울 마포구 신수동 서강대학교,,서울특별시,마포구,대흥동,02-705-8114,,http://www.sogang.ac.kr,37.55123227549557,126.93927007202764,POINT (950470.717310383 1950357.905267074)
56,56,BE_LiST23-0026,2013,일반대학,7.0,서경대학교,본교,기존,사립,,서울 성북구 정릉4동 서경대학교,,서울특별시,성북구,정릉4동,02-940-7114,02-919-0345,http://www.skuniv.ac.kr,37.61537353959452,127.01335157441319,POINT (957051.246809938 1957437.620286344)
57,57,BE_LiST23-0027,2013,일반대학,9.0,서울과학기술대학교,본교,학제 변경,국립,,서울 노원구 공릉로 232 (공릉동 172),,서울특별시,노원구,공릉2동,02-970-6114,02-970-6088,http://www.seoultech.ac.kr,37.6318648220506,127.077526020922,POINT (962723.1737995337 1959239.831902174)
58,58,BE_LiST23-0028,2013,산업대학,9.0,서울과학기술대학교,본교,폐교,국립,,서울시 노원구 공릉로 232 서울과학기술대학교,,서울특별시,노원구,공릉2동,02-970-6114,02-975-8110,http://www.seoultech.ac.kr,37.6318648220506,127.077526020922,POINT (962723.1737995337 1959239.831902174)
59,59,BE_LiST23-0029,2013,교육대학,9.0,서울교육대학교,본교,기존,국립,,서울 서초구 서초중앙로 96(서초동 1650),,서울특별시,서초구,서초1동,02-3475-2114,02-581-7711,http://www.snue.ac.kr,37.48966512862403,127.01545948255408,POINT (957165.3920369056 1943489.980839914)
60,60,BE_LiST23-0030,2013,일반대학,9.0,서울기독대학교,본교,기존,사립,,서울 은평구 갈현로 4길 26-2호,,서울특별시,은평구,신사1동,02-380-2500,02-380-2535,http://www.scu.ac.kr,37.60062243984443,126.91256378597808,POINT (948145.9906940837 1955851.931838579)
61,61,BE_LiST23-0031,2013,일반대학,1.0,서울대학교,본교,기존,국립대법인,,서울 관악구 관악로 1 서울대학교,,서울특별시,관악구,대학동,02-880-5114,02-885-5272,http://www.snu.ac.kr,37.4619673728413,126.95405010385163,POINT (951718.7914541209 1940446.807955571)
62,62,BE_LiST23-0032,2013,사이버대학(대학),9.0,서울디지털대학교,본교,기존,사립,,서울 마포구 도화동 560번지,,서울특별시,마포구,용강동,02-1644-0982,02-2128-3006,http://www.sdu.ac.kr,37.54294451262625,126.94791387384059,POINT (951228.8311279577 1949433.901396223)
63,63,BE_LiST23-0033,2013,사이버대학(대학),9.0,서울사이버대학교,본교,기존,사립,,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,,서울특별시,강북구,미아동,02-944-5000,02-980-2222,http://www.iscu.ac.kr,37.6299013887235,127.027175084651,POINT (958279.3564822027 1959043.191013941)
